"Date","Price","Open","High","Low","Vol.","Change %"
"10-07-2024","83.504","83.491","83.537","83.477","","0.05%"
"09-07-2024","83.465","83.479","83.522","83.452","","-0.04%"
"08-07-2024","83.500","83.495","83.522","83.434","","0.00%"
"05-07-2024","83.500","83.503","83.532","83.458","","0.03%"
"04-07-2024","83.475","83.495","83.561","83.463","","-0.05%"
"03-07-2024","83.520","83.497","83.564","83.435","","0.02%"
"02-07-2024","83.500","83.440","83.567","83.422","","0.07%"
"01-07-2024","83.438","83.380","83.479","83.349","","0.10%"
"28-06-2024","83.355","83.458","83.492","83.329","","-0.10%"
"27-06-2024","83.438","83.579","83.596","83.408","","-0.15%"
"26-06-2024","83.560","83.452","83.632","83.413","","0.19%"
"25-06-2024","83.403","83.439","83.510","83.394","","-0.06%"
"24-06-2024","83.450","83.563","83.590","83.410","","-0.13%"
"21-06-2024","83.558","83.654","83.654","83.484","","-0.07%"
"20-06-2024","83.620","83.422","83.684","83.417","","0.19%"
"19-06-2024","83.460","83.394","83.491","83.340","","0.16%"
"18-06-2024","83.330","83.498","83.560","83.322","","-0.20%"
"17-06-2024","83.500","83.523","83.567","83.503","","-0.06%"
"14-06-2024","83.547","83.546","83.593","83.514","","0.01%"
"13-06-2024","83.540","83.507","83.575","83.487","","0.13%"
"12-06-2024","83.430","83.618","83.622","83.433","","-0.20%"
"11-06-2024","83.600","83.521","83.639","83.480","","0.12%"
"10-06-2024","83.500","83.530","83.551","83.468","","-0.03%"
"07-06-2024","83.521","83.472","83.529","83.365","","0.07%"
"06-06-2024","83.466","83.390","83.527","83.357","","0.11%"
"05-06-2024","83.370","83.539","83.585","83.277","","-0.18%"
"04-06-2024","83.524","83.120","83.676","83.085","","0.53%"
"03-06-2024","83.083","83.124","83.188","82.952","","-0.41%"
"31-05-2024","83.424","83.321","83.501","83.235","","0.17%"
"30-05-2024","83.280","83.363","83.442","83.246","","-0.07%"
"29-05-2024","83.340","83.197","83.411","83.172","","0.22%"
"28-05-2024","83.160","83.137","83.209","83.103","","0.07%"
"27-05-2024","83.102","83.070","83.147","83.034","","0.05%"
"24-05-2024","83.060","83.285","83.300","83.018","","-0.22%"
"23-05-2024","83.240","83.286","83.322","83.190","","0.02%"
"22-05-2024","83.220","83.324","83.328","83.210","","-0.04%"
"21-05-2024","83.250","83.297","83.373","83.226","","-0.04%"
"20-05-2024","83.280","83.302","83.328","83.224","","0.00%"
"17-05-2024","83.280","83.511","83.520","83.273","","-0.20%"
"16-05-2024","83.450","83.420","83.524","83.404","","0.05%"
"15-05-2024","83.411","83.503","83.529","83.409","","-0.08%"
"14-05-2024","83.482","83.529","83.550","83.472","","0.03%"
"13-05-2024","83.460","83.526","83.566","83.465","","-0.10%"
"10-05-2024","83.541","83.453","83.560","83.446","","0.12%"
"09-05-2024","83.441","83.476","83.527","83.432","","-0.03%"
"08-05-2024","83.462","83.466","83.535","83.449","","0.00%"
"07-05-2024","83.458","83.473","83.529","83.432","","-0.02%"
"06-05-2024","83.475","83.380","83.603","83.380","","0.12%"
"03-05-2024","83.376","83.420","83.482","83.308","","-0.07%"
"02-05-2024","83.435","83.430","83.503","83.401","","-0.02%"
"01-05-2024","83.455","83.474","83.532","83.446","","0.01%"
"30-04-2024","83.450","83.459","83.537","83.397","","0.05%"
"29-04-2024","83.410","83.385","83.513","83.352","","0.01%"
"26-04-2024","83.400","83.268","83.422","83.267","","0.11%"
"25-04-2024","83.310","83.338","83.402","83.255","","-0.01%"
"24-04-2024","83.319","83.280","83.362","83.257","","0.06%"
"23-04-2024","83.269","83.384","83.407","83.260","","-0.11%"
"22-04-2024","83.360","83.423","83.457","83.306","","0.00%"
"19-04-2024","83.358","83.548","83.721","83.362","","-0.21%"
